pl_name,st_teff,st_rad,st_mass
Kepler-342 c,6475,1.18,1.2
Kepler-342 d,6475,1.18,1.2
Kepler-342 d,6475,1.18,1.2
Kepler-342 d,6475,1.18,1.2
Kepler-342 e,6475,1.18,1.2
Kepler-342 e,6475,1.18,1.2
Kepler-342 e,6475,1.18,1.2
Kepler-471 b,6475,1.27,1.31
Kepler-471 b,6475,1.27,1.31
Kepler-471 b,6475,1.27,1.31
WASP-14 b,6475,1.32,1.3
WASP-14 b,6475,1.31,1.21
WASP-14 b,6475,1.67,1.35
WASP-14 b,6475,1.4,1.62
KIC 8540376 b,6474,1.26,1.04
KIC 8540376 c,6474,1.26,1.04
Kepler-392 b,6474,1.4,1.1
Kepler-392 b,6474,1.4,1.1
Kepler-392 b,6474,1.4,1.1
Kepler-392 c,6474,1.4,1.1
Kepler-392 c,6474,1.4,1.1
Kepler-392 c,6474,1.4,1.1
HD 106906 b,6473.79,2.12,1.32
Kepler-1533 b,6473.13,1.7,1.32
Kepler-14 b,6471,2.16,1.52
Kepler-1515 b,6471,1.36,1.3
Kepler-1104 b,6470,1.27,1.18
Kepler-1000 b,6469.13,1.81,1.32
Kepler-1000 b,6469.13,1.81,1.32
Kepler-1000 b,6469,1.47,1.41
tau Boo b,6466.27,1.43,1.32
Kepler-117 b,6466,1.18,1.21
Kepler-117 b,6466,1.18,1.21
Kepler-117 b,6466,1.18,1.21
Kepler-117 c,6466,1.18,1.21
Kepler-117 c,6466,1.18,1.21
Kepler-117 c,6466,1.18,1.21
Kepler-584 b,6466,1.18,1.21
Kepler-584 b,6466,1.18,1.21
Kepler-584 b,6466,1.18,1.21
Kepler-342 b,6464,1.12,1.19
Kepler-342 d,6464,1.12,1.19
Kepler-645 b,6464,1.35,1.2
Kepler-1104 b,6461.83,1.44,1.31
Kepler-1298 b,6461,1.53,1.25
Kepler-1298 b,6461,1.53,1.25
Kepler-1298 b,6461,1.46,1.23
Kepler-1298 b,6461,1.53,1.25
Kepler-1395 b,6461,1.95,1.3
Kepler-1395 b,6461,1.95,1.3
Kepler-1395 b,6461,1.95,1.3
Kepler-1622 b,6461,1.19,1.16
Kepler-1622 b,6461,1.19,1.16
Kepler-1622 b,6461,1.19,1.16
HATS-40 b,6460,2.26,1.56
Kepler-1428 b,6460,1.43,1.39
Kepler-419 b,6460,1.59,1.44
WASP-121 b,6459,1.46,1.35
Kepler-1395 b,6458,1.99,1.4
Kepler-634 b,6458,1.09,1.03
Kepler-634 b,6458,1.09,1.03
Kepler-634 b,6458,1.09,1.03
Kepler-493 b,6457,1.54,1.36
Kepler-627 b,6457,1.5,1.24
Kepler-1093 b,6456,1.39,1.2
Kepler-1276 b,6456,1.07,0.99
Kepler-1276 b,6456,1.07,0.99
Kepler-1276 b,6456,1.07,0.99
WASP-18 b,6455,1.23,1.27
